Ticker,Model,MSE,R2_Score
2317,BiGRU,0.9520532459185788,0.9273569180140377
2330,BiGRU,16.864286445724588,0.9689724658839939
2382,BiGRU,0.37144900507305445,0.9918110961083427
2412,BiGRU,1.8453600483503116,0.910093580768477
2454,BiGRU,137.6336831708112,0.9814083607195548
JPM.US,BiGRU,1.423424071395291,0.9848754720642244
MSFT.US,BiGRU,174.62102021671137,0.7762983671529718
NFLX.US,BiGRU,85.5593415205177,0.9914069201118412
BTCUSDT,BiGRU,202727.12141148478,0.9974217842403292
ETHUSDT,BiGRU,2068.1717169131052,0.9963786035135942
BNBUSDT,BiGRU,31.740191163376945,0.9964327305716455
