Ticker,Model,MSE,R2_Score
BTCUSDT,BiGRU,227203.16182254133,0.9972878787909787
BNBUSDT,BiGRU,29.884103292182207,0.9966413356643236
ETHUSDT,BiGRU,2551.4957921807954,0.9955322965586851
2317,BiGRU,0.8965344561816861,0.9315930844384558
2330,BiGRU,18.090110012173128,0.9667171506264765
2412,BiGRU,1.8592335054716038,0.9094176623463498
2382,BiGRU,0.3973884503423277,0.9912392393489708
NFLX.US,BiGRU,76.66485823645712,0.9923002299955492
MSFT.US,BiGRU,107.37864492209951,0.7544841381526727
JPM.US,BiGRU,1.706978296570971,0.9818625795003288
