ticker,order_id,order_type,current_step,side,price,size,cost,from_position,profit,return_rate
BTCUSDT,1714143841,open,11908,long,30770.61999999999898136593401432037353515625,1.8236,56113.30263199999814241891727,-1,0,0
BTCUSDT,1714143845,close,11912,short,30801.11999999999898136593401432037353515625,1.8236,56168.92243199999814241891727,1714143841,55.61980000000000000000000000,0.0009912052470830942311099168968
BTCUSDT,1714143848,open,11915,long,29600.4599999999991268850862979888916015625,1.8967,56143.19248199999834396294318,-1,0,0
BTCUSDT,1714143852,close,11919,short,29821.72999999999956344254314899444580078125,1.8967,56562.87529099999917198147159,1714143848,419.6828090000008280185284093,0.007475221668852458478151500798
BTCUSDT,1714144165,open,12229,long,39723.4399999999950523488223552703857421875,1.4186,56351.67198399999298126203939,-1,0,0
BTCUSDT,1714144176,close,12240,short,39811.9499999999898136593401432037353515625,1.4186,56477.23226999998554965713993,1714144165,125.5602859999925683951005340,0.002228155466898002094850139055
BTCUSDT,1714144246,open,12309,long,38039.2300000000032014213502407073974609375,1.4831,56415.98201300000474802800454,-1,0,0
BTCUSDT,1714144250,close,12313,short,40706.98999999999068677425384521484375,1.4831,60372.53686899998618755489588,1714144246,3956.554855999981439526891337,0.07013180866174176661387294182
BTCUSDT,1714144707,open,12766,long,48182.0699999999997089616954326629638671875,1.2119,58391.85063299999964729067869,-1,0,0
BTCUSDT,1714144718,close,12777,short,48520.01999999998952262103557586669921875,1.2119,58801.41223799998730246443301,1714144707,409.5616049999876551737543195,0.007014019945593657883538183734
BTCUSDT,1714144848,open,12905,long,47775.1200000000026193447411060333251953125,1.2265,58596.18468000000321262632497,-1,0,0
BTCUSDT,1714144851,close,12908,short,48167.47000000000116415321826934814453125,1.2265,59077.40195500000142783392221,1714144848,481.2172749999982152075972408,0.008212433584677516734594961595
BTCUSDT,1714145496,open,13548,long,41607.5299999999915598891675472259521484375,1.4141,58837.20817299998806483927183,-1,0,0
BTCUSDT,1714145497,close,13549,short,43251.330000000001746229827404022216796875,1.4141,61161.70575300000246934359893,1714145496,2324.497580000014404504327104,0.03950727188083528437728491019
BTCUSDT,1714145554,open,13605,long,41404.4099999999962165020406246185302734375,1.4491,59999.13053099999451733310707,-1,0,0
BTCUSDT,1714145557,close,13608,short,41770.75,1.4491,60529.993825,1714145554,530.8632940000054826668929309,0.008847849782185129964991192271
BTCUSDT,1714145560,open,13611,long,41026.539999999993597157299518585205078125,1.4690,60267.98725999999059422407299,-1,0,0
BTCUSDT,1714145562,close,13613,short,41551.1500000000014551915228366851806640625,1.4690,61038.63935000000213767634705,1714145560,770.6520900000115434522740543,0.01278708855292227762584755916
BTCUSDT,1714145581,open,13632,long,41360.3599999999933061189949512481689453125,1.4664,60650.83190399999018409289420,-1,0,0
BTCUSDT,1714145585,close,13636,short,43407.830000000001746229827404022216796875,1.4664,63653.24191200000256067141891,1714145581,3002.410008000012376578524709,0.04950319581357630280489179975
BTCUSDT,1714145619,open,13669,long,47488.080000000001746229827404022216796875,1.3088,62152.39910400000228546559811,-1,0,0
BTCUSDT,1714145627,close,13677,short,48030,1.3088,62861.6640,1714145619,709.2648959999977145344018936,0.01141170584281356992834225919
BTCUSDT,1714146082,open,14128,long,66686.83999999999650754034519195556640625,0.9373,62505.57513199999672651756555,-1,0,0
BTCUSDT,1714146092,close,14138,short,65622.050000000002910383045673370361328125,0.9373,61507.54746500000272790202871,1714146082,-998.0276669999939986155368392,-0.01596701838023804476147718230
BTCUSDT,1714146552,open,14594,long,67603.300000000002910383045673370361328125,0.9172,62005.74676000000266940332949,-1,0,0
BTCUSDT,1714146568,close,14610,short,66693,0.9172,61170.8196,1714146552,-834.9271600000026694033294916,-0.01346531900069971245773223421
BTCUSDT,1714146570,open,14612,long,66520.369999999995343387126922607421875,0.9259,61591.21058299999568844214082,-1,0,0
BTCUSDT,1714146597,close,14638,short,65840.259999999994761310517787933349609375,0.9259,60961.49673399999514949740842,1714146570,-629.7138490000005389447323978,-0.01022408624606268169714360824
BTCUSDT,1714147767,open,15798,long,47779.9999999999927240423858165740966796875,1.2825,61277.84999999999066858435981,-1,0,0
BTCUSDT,1714147780,close,15811,short,47554.9099999999962165020406246185302734375,1.2825,60989.17207499999514766386710,1714147767,-288.6779249999955209204927087,-0.004710966931770542943012576587
BTCUSDT,1714147962,open,15991,long,43050.0100000000020372681319713592529296875,1.4200,61131.01420000000289292074740,-1,0,0
BTCUSDT,1714147970,close,15999,short,43150.009999999994761310517787933349609375,1.4200,61273.01419999999256106093526,1714147962,141.9999999999896681401878595,0.002322879832083493576657862803
BTCUSDT,1714148026,open,16054,long,40975.369999999995343387126922607421875,1.4936,61200.81263199999304488301277,-1,0,0
BTCUSDT,1714148030,close,16058,short,41773.23999999999068677425384521484375,1.4936,62392.51126399998608976602554,1714148026,1191.698631999993044883012772,0.01947194131498984473014934372
BTCUSDT,1714148164,open,16191,long,42164.9999999999927240423858165740966796875,1.4656,61797.02399999998933635652065,-1,0,0
BTCUSDT,1714148165,close,16192,short,42975.8799999999973806552588939666748046875,1.4656,62985.44972799999616108834743,1714148164,1188.425728000006824731826782,0.01923111585438170986689569328
BTCUSDT,1714148210,open,16237,long,42968.2900000000008731149137020111083984375,1.4521,62394.25390900000126785016619,-1,0,0
BTCUSDT,1714148212,close,16239,short,43129.5400000000008731149137020111083984375,1.4521,62628.40503400000126785016619,1714148210,234.1511250000000000000000000,0.003752767447808604827499599673
BTCUSDT,1714148227,open,16254,long,42622.98999999999068677425384521484375,1.4666,62510.87713399998634122312069,-1,0,0
