ticker,order_id,order_type,current_step,side,price,size,cost,from_position,profit,return_rate
2330,1714266294,open,2,long,267.5,186,49755.0,-1,0,0
2330,1714266296,close,4,short,273,186,50778,1714266294,1023.0,0.02056074766355140186915887850
2330,1714266306,open,14,long,271.5,186,50499.0,-1,0,0
2330,1714266312,close,20,short,281,186,52266,1714266306,1767.0,0.03499079189686924493554327808
2330,1714266390,open,97,long,296.5,173,51294.5,-1,0,0
2330,1714266391,close,98,short,300.5,173,51986.5,1714266390,692.0,0.01349072512647554806070826307
2330,1714266404,open,111,long,296,174,51504,-1,0,0
2330,1714266406,close,113,short,297.5,174,51765.0,1714266404,261.0,0.005067567567567567567567567568
2330,1714266455,open,162,long,290,178,51620,-1,0,0
2330,1714266469,close,176,short,297,178,52866,1714266455,1246,0.02413793103448275862068965517
2330,1714266476,open,183,long,290,181,52490,-1,0,0
2330,1714266477,close,184,short,290.5,181,52580.5,1714266476,90.5,0.001724137931034482758620689655
2330,1714266497,open,203,long,291.5,180,52470.0,-1,0,0
2330,1714266502,close,208,short,296,180,53280,1714266497,810.0,0.01543739279588336192109777015
2330,1714266518,open,224,long,304.5,173,52678.5,-1,0,0
2330,1714266519,close,225,short,305,173,52765,1714266518,86.5,0.001642036124794745484400656814
2330,1714266583,open,289,long,313.5,169,52981.5,-1,0,0
2330,1714266591,close,297,short,317.5,169,53657.5,1714266583,676.0,0.01275917065390749601275917065
2330,1714266639,open,344,long,348,153,53244,-1,0,0
2330,1714266649,close,354,short,356.5,153,54544.5,1714266639,1300.5,0.02442528735632183908045977011
2330,1714266669,open,374,long,368.5,146,53801.0,-1,0,0
2330,1714266677,close,382,short,383,146,55918,1714266669,2117.0,0.03934871099050203527815468114
2330,1714266686,open,391,long,381.5,144,54936.0,-1,0,0
2330,1714266697,close,402,short,424.5,144,61128.0,1714266686,6192.0,0.1127129750982961992136304063
2330,1714266743,open,448,long,436.00000000000005684341886080801486968994140625,133,57988.00000000000756017470849,-1,0,0
2330,1714266744,close,449,short,436.49999999999994315658113919198513031005859375,133,58054.49999999999243982529151,1714266743,66.49999999998487965058302507,0.001146788990825427174254292279
2330,1714266785,open,490,long,413.5,140,57890.0,-1,0,0
2330,1714266790,close,494,short,424,140,59360,1714266785,1470.0,0.02539298669891172914147521161
2330,1714266909,open,613,long,426,138,58788,-1,0,0
2330,1714266913,close,617,short,423,138,58374,1714266909,-414,-0.007042253521126760563380281690
2330,1714266961,open,664,long,459.50000000000005684341886080801486968994140625,127,58356.50000000000721911419532,-1,0,0
2330,1714266969,close,672,short,459,127,58293,1714266961,-63.50000000000721911419532262,-0.001088139281828197565974545881
2330,1714267060,open,763,long,453.00000000000005684341886080801486968994140625,129,58437.00000000000733280103304,-1,0,0
2330,1714267061,close,764,short,451.5,129,58243.5,1714267060,-193.5000000000073328010330442,-0.003311258278145820430895407388
2330,1714267065,open,768,long,452.50000000000005684341886080801486968994140625,129,58372.50000000000733280103304,-1,0,0
2330,1714267067,close,770,short,455.5,129,58759.5,1714267065,386.9999999999926671989669558,0.006629834254143519955179433605
2330,1714267071,open,774,long,459.50000000000005684341886080801486968994140625,127,58356.50000000000721911419532,-1,0,0
2330,1714267072,close,775,short,459.50000000000005684341886080801486968994140625,127,58356.50000000000721911419532,1714267071,0E-44,0E-21
2330,1714267101,open,803,long,488.5,120,58620.0,-1,0,0
2330,1714267111,close,813,short,494.5,120,59340.0,1714267101,720.0,0.01228249744114636642784032753
2330,1714267122,open,824,long,492,120,59040,-1,0,0
2330,1714267132,close,834,short,487.5,120,58500.0,1714267122,-540.0,-0.009146341463414634146341463415
2330,1714267192,open,894,long,514,114,58596,-1,0,0
2330,1714267204,close,906,short,509,114,58026,1714267192,-570,-0.009727626459143968871595330739
2330,1714267281,open,982,long,584,100,58400,-1,0,0
2330,1714267283,close,984,short,594,100,59400,1714267281,1000,0.01712328767123287671232876712
2330,1714267294,open,995,long,593,99,58707,-1,0,0
2330,1714267300,close,1001,short,607,99,60093,1714267294,1386,0.02360876897133220910623946037
2330,1714267306,open,1007,long,607,98,59486,-1,0,0
2330,1714267310,close,1011,short,630,98,61740,1714267306,2254,0.03789126853377265238879736409
2330,1714267317,open,1018,long,653,93,60729,-1,0,0
2330,1714267323,close,1024,short,659,93,61287,1714267317,558,0.009188361408882082695252679939
2330,1714267327,open,1028,long,628,97,60916,-1,0,0
2330,1714267329,close,1030,short,632,97,61304,1714267327,388,0.006369426751592356687898089172
2330,1714267344,open,1045,long,598,102,60996,-1,0,0
2330,1714267349,close,1050,short,602,102,61404,1714267344,408,0.006688963210702341137123745819
2330,1714267366,open,1067,long,630,97,61110,-1,0,0
2330,1714267373,close,1074,short,636,97,61692,1714267366,582,0.009523809523809523809523809524
2330,1714267374,open,1075,long,634,97,61498,-1,0,0
2330,1714267381,close,1082,short,663,97,64311,1714267374,2813,0.04574132492113564668769716088
2330,1714267398,open,1098,long,639,98,62622,-1,0,0
2330,1714267402,close,1102,short,641,98,62818,1714267398,196,0.003129890453834115805946791862
2330,1714267433,open,1133,long,598,105,62790,-1,0,0
2330,1714267434,close,1134,short,601,105,63105,1714267433,315,0.005016722408026755852842809365
2330,1714267445,open,1145,long,590,107,63130,-1,0,0
