open,high,low,close,volume,sma,ema,macd,macd_signal,rsi,stoch_k,stoch_d,bb_upper,bb_middle,bb_lower,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,stoch_rsi_k,stoch_rsi_d,volume_ema,volume_sma,volume_bb_upper,volume_bb_middle,volume_bb_lower
221.0,224.0,220.5,223.0,27208722,229.32142857142858,228.76521501801216,-6.543084653102653,-5.48662656843818,35.61771002698766,12.244897959183673,7.146900718329289,254.39391579163546,234.125,213.85608420836454,224.0,235.5,247.625,247.25,24.368850209976525,24.579890807251257,38875992.03422607,45033987.78571428,88035461.67140234,39395086.55,-9245288.571402334
225.0,225.5,221.5,223.5,23268759,227.89285714285714,228.0631863489439,-6.38362963372208,-5.666027181494961,36.41698946666128,14.285714285714286,9.484563055991627,253.3396172212605,233.1,212.86038277873948,224.0,235.5,246.75,247.25,29.247780236536812,26.255500199430866,36795027.629662596,45385317.78571428,87923484.92098203,38767827.3,-10387830.320982039
224.0,228.5,223.5,228.0,40324763,227.17857142857142,228.05476150241807,-5.826978212455572,-5.698217387687084,43.245973442087354,32.6530612244898,19.727891156462587,251.8015512912588,232.25,212.6984487087412,224.25,234.75,246.75,247.25,49.079977194384774,34.23220254696604,37265659.01237425,45211630.21428572,88171242.5949189,39049324.25,-10072594.094918914
228.5,232.0,228.5,229.5,33778934,226.57142857142858,228.24745996876234,-5.204792874284294,-5.5995324850065264,45.35288205108521,38.775510204081634,28.57142857142857,250.0026278462105,231.45,212.8973721537895,226.0,234.75,247.875,247.25,65.69706686413437,48.008274765018655,36800762.34405769,44588693.5,88238981.90208012,39480421.25,-9278139.402080119
231.0,231.5,229.0,229.5,27530377,225.5,228.4144653062607,-4.658011850084193,-5.4112283580220595,45.35288205108521,79.16666666666667,50.1984126984127,247.36941184863102,230.525,213.680588151369,226.0,234.75,248.625,247.25,86.10113440265225,66.95939282039046,35564710.96484999,44276435.5,88148481.50025094,39776543.35,-8595394.800250933
232.0,234.0,230.5,233.0,30693910,225.78571428571428,229.0258699320926,-3.897337123430759,-5.108450111103799,50.341588961476624,92.85714285714286,70.26643990929705,245.39747130942686,229.925,214.45252869057316,227.0,234.5,248.5,247.25,94.84872183049049,82.21564103242571,34915270.83620333,37293708.571428575,88010090.16097859,40290756.0,-7428578.160978578
234.5,234.5,232.5,233.0,19921437,226.25,229.55575394114692,-3.2569527977230166,-4.738150648427643,50.34158896147663,89.65517241379311,87.22632731253422,243.3240360744672,229.35,215.3759639255328,227.25,234.5,248.5,247.25,100.0,93.64995207771425,32916092.99137622,33644527.28571428,88002881.97270279,40299700.45,-7403481.07270278
233.5,234.0,229.5,230.5,23771769,226.5,229.68165341566066,-2.917541114644564,-4.374028741671028,46.80219974057969,72.41379310344827,84.97536945812807,241.0134500702103,228.7,216.38654992978968,227.25,234.5,248.375,247.25,94.51238311556794,96.45370164868615,31696849.79252606,32416232.785714287,87808119.5942795,40570781.95,-6666555.694279492
229.5,230.5,228.5,230.5,14409556,226.89285714285714,229.79076629357257,-2.6183719485330244,-4.022897383043427,46.80219974057969,72.41379310344827,78.16091954022988,239.87933388728794,228.325,216.77066611271204,227.5,234.5,247.5,247.25,89.02476623113587,94.51238311556794,29391877.286855917,30104693.214285713,87794866.308446,39153440.3,-9487985.708446011
231.0,231.5,226.5,226.5,26852737,227.21428571428572,229.35199745442955,-2.6732294742458578,-3.752963801283913,41.400875164342956,44.827586206896555,63.218390804597696,238.38509582269373,227.75,217.11490417730627,228.0,234.25,247.5,247.25,73.33999209480434,85.62571381383606,29053325.248608463,28592491.785714287,87288427.48024502,38371074.75,-10546277.980245031
225.5,227.5,223.5,223.5,27664541,227.21428571428572,228.57173112717228,-2.925061102946813,-3.587383261616493,37.87079640563125,24.137931034482758,47.126436781609186,233.99383301152295,226.7,219.40616698847703,229.0,234.25,247.625,247.25,56.615098839161995,72.99328572170073,28868154.01546067,28127497.64285714,87230993.2333335,38159202.35,-10912588.533333488
225.0,230.0,225.0,229.0,16127815,227.35714285714286,228.6288336435493,-2.6502846171376575,-3.399963532720726,46.82290955653698,62.06896551724138,43.67816091954023,233.99383301152295,226.7,219.40616698847703,229.0,233.0,247.75,247.25,55.835375327072256,61.9301554203462,27169442.14673258,27243713.785714287,58253658.43152651,32542988.75,6832319.068473488
230.0,233.5,229.0,229.0,22355097,227.78571428571428,228.67832249107607,-2.404801220938026,-3.2009310703641862,46.82290955653697,62.06896551724138,49.42528735632184,234.18974532378363,226.825,219.46025467621635,229.0,232.25,248.0,247.25,65.25280906688197,59.23442774437208,26527529.46050157,26114224.85714286,48723495.89093983,30110244.85,11496993.809060168
231.5,231.5,228.5,228.5,23062899,228.35714285714286,228.65454615893262,-2.2249518225372924,-3.0057352207988077,46.12223427731804,57.142857142857146,60.42692939244663,234.30270220932752,226.9,219.4972977906725,229.0,232.25,248.0,247.25,77.9131382385857,66.33377421084664,26065578.732434694,25497951.14285714,47345512.86419831,29214995.2,11084477.535801683
229.5,230.0,228.5,229.0,12996610,228.78571428571428,228.70060667107495,-2.018802558006371,-2.808348688240321,46.976729411418894,57.69230769230769,58.96804345080207,234.5027022093275,227.1,219.69729779067248,229.0,232.25,245.75,247.25,76.12552631538823,73.09715787361864,24323049.568110067,24482800.285714287,45053286.61093354,27526270.2,9999253.78906646
228.5,229.5,228.0,228.5,15971294,229.14285714285714,228.67385911493164,-1.8741693443937493,-2.6215128194710067,46.18784674095331,45.45454545454545,53.429903429903426,234.44583365870045,227.425,220.40416634129957,228.75,232.25,245.25,247.25,71.29027853257695,75.10964769551695,23209482.159028728,23961552.785714287,41287276.2503155,25923657.05,10560037.849684503
229.5,230.0,226.5,227.0,16373270,229.07142857142858,228.45067789960746,-1.8591527884933612,-2.4690408132754778,43.81090882111208,31.818181818181817,44.988344988344984,234.37922523130965,227.6,220.82077476869034,228.5,227.25,245.25,246.25,63.38652500141054,70.26744328312525,22297987.204491567,22250731.85714286,40447083.28401906,25033597.6,9620111.91598094
