datetime,open,high,low,close,volume
2024-01-02,17939.7890625,17956.740234375,17784.970703125,17853.759765625,3254000
2024-01-03,17829.279296875,17829.279296875,17518.189453125,17559.310546875,3095000
2024-01-04,17574.390625,17609.890625,17515.73046875,17549.650390625,3096700
2024-01-05,17559.400390625,17606.7890625,17495.390625,17519.140625,3084900
2024-01-08,17534.51953125,17688.109375,17534.51953125,17572.66015625,3044600
2024-01-09,17585.400390625,17694.259765625,17517.55078125,17535.490234375,3213400
2024-01-10,17495.669921875,17499.4296875,17439.26953125,17465.630859375,2843300
2024-01-11,17477.880859375,17574.919921875,17476.869140625,17545.3203125,2880100
2024-01-12,17536.05078125,17570.630859375,17469.869140625,17512.830078125,2596200
2024-01-15,17541.259765625,17632.76953125,17532.98046875,17546.8203125,0
2024-01-16,17523.779296875,17523.779296875,17337.580078125,17346.869140625,3415100
2024-01-17,17341.580078125,17361.05078125,17151.580078125,17161.7890625,3977500
2024-01-18,17169.099609375,17300.2890625,17169.099609375,17227.7890625,3027100
2024-01-19,17546.509765625,17682.970703125,17499.849609375,17681.51953125,3364900
