datetime,unix,open,high,low,close,volume
2020-01-01 00:00:00,1577808000000,129.71,130.51,128.42,128.49,51027.12357
2020-01-01 04:00:00,1577822400000,128.47,129.46,128.17,129.16,18953.16336
2020-01-01 08:00:00,1577836800000,129.16,130.98,128.68,130.2,31685.73908
2020-01-01 12:00:00,1577851200000,130.21,130.75,130.11,130.24,15457.58966
2020-01-01 16:00:00,1577865600000,130.24,131.87,129.87,130.74,27822.94195
2020-01-01 20:00:00,1577880000000,130.74,132.4,130.7,132.08,24010.28657
2020-01-02 00:00:00,1577894400000,132.08,133.05,131.57,131.86,20158.22421
2020-01-02 04:00:00,1577908800000,131.86,132.37,129.74,130.77,25635.7405
2020-01-02 08:00:00,1577923200000,130.72,130.78,128.77,129.1,38485.79425
2020-01-02 12:00:00,1577937600000,129.09,129.99,128.69,129.26,27580.21466
2020-01-02 16:00:00,1577952000000,129.23,130.28,129.21,129.53,25341.92023
2020-01-02 20:00:00,1577966400000,129.52,130.01,128.9,129.59,23157.01214
2020-01-03 00:00:00,1577980800000,129.58,129.78,126.38,127.62,85534.55202
2020-01-03 04:00:00,1577995200000,127.63,127.87,126.79,127.19,13657.56476
2020-01-03 08:00:00,1578009600000,127.19,127.6,125.88,126.89,40142.23049
2020-01-03 12:00:00,1578024000000,126.89,130.15,126.83,128.86,87499.1273
2020-01-03 16:00:00,1578038400000,128.86,133.26,128.8,132.46,118287.73343
2020-01-03 20:00:00,1578052800000,132.49,133.95,130.93,132.53,57993.70937
2020-01-04 00:00:00,1578067200000,132.52,134.9,131.94,133.49,70186.34496
2020-01-04 04:00:00,1578081600000,133.48,135.14,132.16,134.35,38946.0434
2020-01-04 08:00:00,1578096000000,134.37,134.81,132.79,133.34,29800.56324
2020-01-04 12:00:00,1578110400000,133.34,134.31,133.0,133.91,24369.40889
2020-01-04 16:00:00,1578124800000,133.9,134.18,133.07,133.77,23918.50927
2020-01-04 20:00:00,1578139200000,133.76,133.79,132.5,133.26,29237.72486
2020-01-05 00:00:00,1578153600000,133.26,135.85,132.8,133.72,59872.55619
2020-01-05 04:00:00,1578168000000,133.71,134.54,133.44,134.2,17077.40857
2020-01-05 08:00:00,1578182400000,134.2,136.2,134.19,136.16,48831.80763
2020-01-05 12:00:00,1578196800000,136.17,137.24,135.62,136.02,37286.06571
2020-01-05 16:00:00,1578211200000,136.04,136.24,134.7,135.07,33422.08707
2020-01-05 20:00:00,1578225600000,135.06,137.96,135.06,137.26,42242.22893
2020-01-06 00:00:00,1578240000000,137.24,138.19,136.64,137.97,45304.34466
2020-01-06 04:00:00,1578254400000,137.97,138.06,134.21,135.37,47033.91943
2020-01-06 08:00:00,1578268800000,135.37,139.67,134.86,139.49,81445.25944
2020-01-06 12:00:00,1578283200000,139.49,140.0,138.54,138.87,31894.33568
2020-01-06 16:00:00,1578297600000,138.87,143.06,138.81,141.54,87065.38988
2020-01-06 20:00:00,1578312000000,141.54,143.22,139.08,140.2,101925.464
2020-01-07 00:00:00,1578326400000,140.19,141.86,140.0,141.35,35540.05181
2020-01-07 04:00:00,1578340800000,141.35,144.41,141.26,144.15,70149.77294
2020-01-07 08:00:00,1578355200000,144.14,145.31,143.16,143.5,84551.69867
2020-01-07 12:00:00,1578369600000,143.5,143.62,142.15,142.87,42983.64715
2020-01-07 16:00:00,1578384000000,142.87,143.78,142.45,142.62,45824.82864
