datetime,unix,open,high,low,close,volume
2020-08-11 12:00:00,1597118400000,2.85,3.47,2.85,2.9224,62101.63
2020-08-11 16:00:00,1597132800000,2.9626,3.1,2.8433,3.0497,89812.46
2020-08-11 20:00:00,1597147200000,3.0497,3.5208,2.8625,3.19,902874.94
2020-08-12 00:00:00,1597161600000,3.1751,3.384,3.1143,3.1886,254050.22
2020-08-12 04:00:00,1597176000000,3.1938,3.3191,2.95,3.2985,243545.53
2020-08-12 08:00:00,1597190400000,3.2985,3.32,3.08,3.2802,226276.63
2020-08-12 12:00:00,1597204800000,3.2802,3.3661,3.1323,3.3661,188444.93
2020-08-12 16:00:00,1597219200000,3.3577,3.9289,3.35,3.6842,795196.72
2020-08-12 20:00:00,1597233600000,3.6733,3.9,3.6434,3.7678,267541.97
2020-08-13 00:00:00,1597248000000,3.7704,3.8423,3.6,3.6788,173511.5
2020-08-13 04:00:00,1597262400000,3.6788,3.8225,3.6652,3.7558,86071.2
2020-08-13 08:00:00,1597276800000,3.75,3.8512,3.5537,3.7593,186203.13
2020-08-13 12:00:00,1597291200000,3.7404,4.1387,3.6243,4.0785,335027.51
2020-08-13 16:00:00,1597305600000,4.0946,4.1222,3.5003,3.87,548093.97
2020-08-13 20:00:00,1597320000000,3.87,4.0555,3.8,3.8065,256999.54
2020-08-14 00:00:00,1597334400000,3.8065,3.9645,3.7698,3.8566,144099.38
2020-08-14 04:00:00,1597348800000,3.8549,3.87,3.5385,3.73,215335.71
2020-08-14 08:00:00,1597363200000,3.7207,3.7676,3.5717,3.625,185069.51
2020-08-14 12:00:00,1597377600000,3.6251,3.7517,3.5,3.55,221772.67
2020-08-14 16:00:00,1597392000000,3.5327,3.7598,3.4267,3.7173,378167.48
2020-08-14 20:00:00,1597406400000,3.7036,3.7133,3.5106,3.5788,209465.81
2020-08-15 00:00:00,1597420800000,3.5753,3.5881,3.321,3.3792,337259.47
2020-08-15 04:00:00,1597435200000,3.3792,3.4897,3.3321,3.4099,142426.85
2020-08-15 08:00:00,1597449600000,3.4181,3.4242,3.1874,3.3289,194423.41
2020-08-15 12:00:00,1597464000000,3.3305,3.5713,3.163,3.5215,325200.11
2020-08-15 16:00:00,1597478400000,3.5216,3.74,3.4477,3.45,263252.49
2020-08-15 20:00:00,1597492800000,3.4527,3.4852,3.38,3.4324,97809.11
2020-08-16 00:00:00,1597507200000,3.4547,3.4654,3.34,3.3684,71241.36
2020-08-16 04:00:00,1597521600000,3.3684,3.4727,3.15,3.173,118306.72
2020-08-16 08:00:00,1597536000000,3.173,3.2602,3.12,3.1955,169706.83
2020-08-16 12:00:00,1597550400000,3.192,3.4907,3.1697,3.4401,195490.3
2020-08-16 16:00:00,1597564800000,3.4401,3.47,3.34,3.4193,112899.67
2020-08-16 20:00:00,1597579200000,3.4193,3.4427,3.34,3.3872,89743.61
2020-08-17 00:00:00,1597593600000,3.3911,3.4726,3.379,3.4071,65724.85
2020-08-17 04:00:00,1597608000000,3.4115,3.4426,3.36,3.3885,34541.27
2020-08-17 08:00:00,1597622400000,3.3885,3.3952,3.3235,3.3502,87476.01
2020-08-17 12:00:00,1597636800000,3.3551,3.3666,3.2,3.2001,173481.74
2020-08-17 16:00:00,1597651200000,3.2034,3.3234,3.2002,3.2891,100401.83
2020-08-17 20:00:00,1597665600000,3.2891,3.2934,3.1,3.1264,174288.9
2020-08-18 00:00:00,1597680000000,3.1347,3.215,3.11,3.1541,135874.82
2020-08-18 04:00:00,1597694400000,3.1546,3.2,3.1,3.11,57890.34
2020-08-18 08:00:00,1597708800000,3.11,3.1277,3.0,3.0328,243087.75
2020-08-18 12:00:00,1597723200000,3.0208,3.0671,2.878,2.99,217268.31
2020-08-18 16:00:00,1597737600000,2.99,3.25,2.91,3.0672,309120.92
2020-08-18 20:00:00,1597752000000,3.0501,3.7092,2.8105,3.3621,1374229.97
2020-08-19 00:00:00,1597766400000,3.3777,3.5832,3.258,3.5289,417949.42
2020-08-19 04:00:00,1597780800000,3.5289,3.5543,3.32,3.3407,151459.57
2020-08-19 08:00:00,1597795200000,3.334,3.49,3.0814,3.1075,290125.3
2020-08-19 12:00:00,1597809600000,3.1001,3.1427,2.8,3.0375,428619.05
2020-08-19 16:00:00,1597824000000,3.0376,3.1799,3.0,3.01,165070.34
2020-08-19 20:00:00,1597838400000,3.01,3.1307,2.98,3.008,197297.44
2020-08-20 00:00:00,1597852800000,2.9955,3.0291,2.9012,2.9404,180547.77
2020-08-20 04:00:00,1597867200000,2.9407,2.9735,2.82,2.8868,171583.86
2020-08-20 08:00:00,1597881600000,2.8962,3.053,2.8871,2.9291,113584.78
2020-08-20 12:00:00,1597896000000,2.9291,3.0493,2.92,2.998,112596.52
2020-08-20 16:00:00,1597910400000,2.9955,3.1898,2.9895,3.1508,231282.31
2020-08-20 20:00:00,1597924800000,3.151,3.35,3.109,3.3254,225160.02
