datetime,open,high,low,close,volume,order_type,side,open_price,cost,from_position,profit,return_rate,size
2020-03-02 14:00:00,373.11,375.49,367.27,367.625,1188244,,,,,,,,
2020-03-02 15:00:00,367.585,372.44,364.502,369.334,1172445,,,,,,,,
2020-03-02 16:00:00,369.22,374.9995,368.66,374.65,873597,,,,,,,,
2020-03-02 17:00:00,374.7165,376.46,371.92,374.57,682850,,,,,,,,
2020-03-02 18:00:00,374.66,375.47,371.06,373.1289,666450,,,,,,,,
2020-03-02 19:00:00,373.05,374.15,369.31,371.34,549145,,,,,,,,
2020-03-02 20:00:00,371.575,381.36,371.24,381.26,1107372,,,,,,,,
2020-03-02 21:00:00,381.05,381.05,381.05,381.05,179502,,,,,,,,
2020-03-03 14:00:00,381.03,386.13,377.77,379.82,1013787,,,,,,,,
2020-03-03 15:00:00,380.2132,392.7,379.6758,392.59,1649413,,,,,,,,
2020-03-03 16:00:00,392.59,393.52,380.5,384.74,1395831,,,,,,,,
2020-03-03 17:00:00,384.77,386.6,382.16,383.1711,555324,,,,,,,,
2020-03-03 18:00:00,383.04,383.21,373.1953,373.315,732934,,,,,,,,
2020-03-03 19:00:00,373.3686,374.0836,367.4,370.76,1027179,,,,,,,,
2020-03-03 20:00:00,371.22,374.3865,367.75,368.96,1389676,,,,,,,,
2020-03-03 21:00:00,368.81,368.81,368.41,368.41,61871,,,,,,,,
2020-03-04 14:00:00,377.77,379.0,370.51,373.456,805233,,,,,,,,
2020-03-04 15:00:00,373.616,377.1875,371.71,373.93,646261,,,,,,,,
2020-03-04 16:00:00,374.0,376.4135,373.3501,373.73,387039,,,,,,,,
2020-03-04 17:00:00,373.8798,377.8699,373.8798,377.26,472096,,,,,,,,
2020-03-04 18:00:00,377.29,382.99,376.95,382.1,881388,,,,,,,,
2020-03-04 19:00:00,382.0,382.75,379.61,380.05,525932,,,,,,,,
2020-03-04 20:00:00,379.97,384.01,377.5,383.99,1237067,,,,,,,,
2020-03-04 21:00:00,383.99,383.99,381.37,381.37,42209,,,,,,,,
2020-03-05 14:00:00,381.0,381.3,374.51,377.03,690260,,,,,,,,
2020-03-05 15:00:00,377.1,389.39,375.8838,388.54,1551762,,,,,,,,
2020-03-05 16:00:00,388.63,391.4,385.8,386.98,1118117,,,,,,,,
2020-03-05 17:00:00,386.74,388.2099,377.01,377.515,1023180,,,,,,,,
2020-03-05 18:00:00,377.39,379.9899,374.2479,377.15,1218175,,,,,,,,
2020-03-05 19:00:00,377.2,379.57,373.34,374.15,823771,,,,,,,,
2020-03-05 20:00:00,374.21,374.325,368.6401,372.78,1748591,,,,,,,,
2020-03-05 21:00:00,372.78,373.71,372.78,373.43,47854,,,,,,,,
2020-03-06 14:00:00,367.7,369.47,358.1,362.135,1390368,,,,,,,,
2020-03-06 15:00:00,362.22,370.9,360.15,366.97,1463843,,,,,,,,
2020-03-06 16:00:00,367.0,367.87,363.28,364.58,709515,,,,,,,,
2020-03-06 17:00:00,364.61,364.67,359.4649,362.7487,767929,,,,,,,,
2020-03-06 18:00:00,362.6,364.39,360.15,360.6894,683791,,,,,,,,
2020-03-06 19:00:00,360.7096,361.4852,356.85,358.45,694851,,,,,,,,
2020-03-06 20:00:00,358.2701,371.31,357.78,368.9,1699177,,,,,,,,
2020-03-06 21:00:00,368.97,368.97,368.97,368.97,113039,,,,,,,,
2020-03-09 13:00:00,343.86,350.0,341.7209,348.5101,970267,,,,,,,,
2020-03-09 14:00:00,348.75,357.47,346.5988,349.56,1382928,,,,,,,,
2020-03-09 15:00:00,349.49,354.958,348.59,353.71,845228,,,,,,,,
2020-03-09 16:00:00,353.49,354.4441,348.8,349.2799,607944,,,,,,,,
2020-03-09 17:00:00,349.04,351.03,345.76,346.515,510807,,,,,,,,
2020-03-09 18:00:00,346.75,348.39,342.61,346.705,769893,,,,,,,,
2020-03-09 19:00:00,346.64,352.5,345.675,346.03,1564035,,,,,,,,
2020-03-09 20:00:00,346.49,346.49,346.49,346.49,12948,,,,,,,,
2020-03-10 13:00:00,356.425,361.31,353.87,358.87,1003956,,,,,,,,
2020-03-10 14:00:00,358.9895,362.32,352.8,352.8,955286,,,,,,,,
2020-03-10 15:00:00,352.925,355.71,347.85,353.25,1061687,,,,,,,,
2020-03-10 16:00:00,353.39,357.4462,351.24,354.08,787231,,,,,,,,
2020-03-10 17:00:00,353.84,356.83,351.82,352.9301,597075,,,,,,,,
2020-03-10 18:00:00,353.075,358.585,350.67,357.8584,740500,,,,,,,,
2020-03-10 19:00:00,358.0,364.54,357.66,364.27,1629677,,,,,,,,
2020-03-10 20:00:00,364.13,364.13,363.75,363.75,58182,,,,,,,,
2020-03-11 13:00:00,358.92,362.98,354.68,356.58,731374,,,,,,,,
2020-03-11 14:00:00,356.75,358.63,353.32,355.56,633782,,,,,,,,
2020-03-11 15:00:00,355.56,360.3,355.3523,358.0,805390,,,,,,,,
2020-03-11 16:00:00,357.885,361.12,354.74,355.6167,518353,,,,,,,,
2020-03-11 17:00:00,355.44,355.44,351.83,354.0612,558822,,,,,,,,
2020-03-11 18:00:00,354.1047,354.65,350.09,351.3,562279,,,,,,,,
2020-03-11 19:00:00,351.365,352.0,344.79,349.59,1467028,,,,,,,,
2020-03-11 20:00:00,349.92,349.92,349.92,349.92,18308,,,,,,,,
2020-03-12 13:00:00,326.5,329.64,316.54,328.4265,1508575,,,,,,,,
2020-03-12 14:00:00,328.29,335.72,325.0,331.7,1695492,,,,,,,,
2020-03-12 15:00:00,331.87,332.225,317.08,317.14,1239910,,,,,,,,
2020-03-12 16:00:00,317.1099,322.3099,307.32,319.9,1831359,,,,,,,,
2020-03-12 17:00:00,319.65,331.8079,315.8546,320.85,1570346,,,,,,,,
2020-03-12 18:00:00,321.14,322.41,313.67,313.8633,943192,,,,,,,,
2020-03-12 19:00:00,313.77,319.42,311.68,312.63,2287277,,,,,,,,
2020-03-12 20:00:00,315.25,315.25,315.05,315.06,3908,,,,,,,,
2020-03-13 13:00:00,330.51,331.46,315.0,322.14,1202931,,,,,,,,
2020-03-13 14:00:00,322.19,330.51,320.1601,321.46,1415814,,,,,,,,
2020-03-13 15:00:00,321.555,323.75,307.39,312.37,1325785,,,,,,,,
2020-03-13 16:00:00,312.97,317.94,310.78,313.52,805546,,,,,,,,
2020-03-13 17:00:00,313.38,323.2,311.78,322.37,925818,,,,,,,,
2020-03-13 18:00:00,322.14,322.62,312.52,314.775,830123,,,,,,,,
2020-03-13 19:00:00,314.8256,336.42,313.62,336.3,1984438,,,,,,,,
2020-03-13 20:00:00,336.295,336.3,331.32,336.0,7918,,,,,,,,
2020-03-16 13:00:00,306.63,314.4699,299.15,313.87,1084476,,,,,,,,
2020-03-16 14:00:00,313.78,320.39,309.5,318.498,1672577,,,,,,,,
2020-03-16 15:00:00,318.2,334.35,317.46,328.188,1498603,,,,,,,,
2020-03-16 16:00:00,328.049,328.97,316.125,318.13,1024939,,,,,,,,
2020-03-16 17:00:00,318.04,322.16,311.5073,312.91,826102,,,,,,,,
2020-03-16 18:00:00,312.855,319.3793,310.04,315.45,1188050,,,,,,,,
2020-03-16 19:00:00,315.45,317.0,294.75,296.84,2240847,,,,,,,,
2020-03-16 20:00:00,296.84,298.65,296.2,298.65,14867,,,,,,,,
2020-03-17 13:00:00,306.19,309.49,290.25,290.5133,1384625,,,,,,,,
2020-03-17 14:00:00,290.465,318.6684,290.3101,313.47,2220008,,,,,,,,
2020-03-17 15:00:00,313.67,319.75,311.67,319.524,1260827,,,,,,,,
2020-03-17 16:00:00,319.35,322.9,311.01,315.42,1095095,,,,,,,,
2020-03-17 17:00:00,315.43,317.34,308.65,316.04,839833,,,,,,,,
2020-03-17 18:00:00,316.37,321.4699,314.07,319.74,884664,,,,,,,,
2020-03-17 19:00:00,319.44,322.49,314.17,319.7401,1700525,,,,,,,,
2020-03-17 20:00:00,319.75,319.75,319.58,319.75,5696,,,,,,,,
2020-03-18 13:00:00,302.395,320.9,300.0,320.59,1237200,,,,,,,,
2020-03-18 14:00:00,320.4083,331.5794,318.02,328.61,2055632,,,,,,,,
2020-03-18 15:00:00,328.48,329.305,319.27,325.69,1594347,,,,,,,,
2020-03-18 16:00:00,325.54,325.64,315.76,315.76,1124131,,,,,,,,
2020-03-18 17:00:00,315.0,317.7163,305.5,309.1439,1486570,,,,,,,,
2020-03-18 18:00:00,309.12,316.39,303.29,315.215,1506539,,,,,,,,
2020-03-18 19:00:00,315.215,318.81,305.22,317.33,2596429,,,,,,,,
2020-03-18 20:00:00,315.47,317.0,312.0,312.0,34318,,,,,,,,
2020-03-19 13:00:00,324.33,333.48,316.82,332.1672,1410071,,,,,,,,
2020-03-19 14:00:00,332.0,343.29,329.06,336.185,2231279,,,,,,,,
2020-03-19 15:00:00,335.7691,342.9114,333.88,334.45,1225917,,,,,,,,
2020-03-19 16:00:00,335.065,342.875,332.53,340.335,900057,,,,,,,,
2020-03-19 17:00:00,340.135,345.0,337.51,342.56,979750,,,,,,,,
2020-03-19 18:00:00,342.57,348.51,340.12,341.765,1102888,,,,,,,,
2020-03-19 19:00:00,341.52,342.83,331.01,331.885,1982662,,,,,,,,
2020-03-19 20:00:00,332.03,332.03,332.03,332.03,24620,,,,,,,,
2020-03-20 13:00:00,342.31,347.65,333.6683,341.84,1787974,,,,,,,,
2020-03-20 14:00:00,342.03,350.49,341.34,349.56,1628246,,,,,,,,
2020-03-20 15:00:00,349.32,349.99,338.25,344.4488,1308255,,,,,,,,
2020-03-20 16:00:00,344.67,345.498,333.03,343.48,1239447,,,,,,,,
2020-03-20 17:00:00,343.55,344.86,339.306,342.745,1126461,,,,,,,,
2020-03-20 18:00:00,342.76,345.785,335.6,336.72,1245267,,,,,,,,
2020-03-20 19:00:00,336.98,339.88,332.0,332.7,1847732,,,,,,,,
2020-03-20 20:00:00,332.83,333.36,332.79,333.21,30837,,,,,,,,
2020-03-23 13:00:00,347.89,354.74,340.8838,351.69,2238580,,,,,,,,
2020-03-23 14:00:00,351.84,360.0,348.56,355.82,2507405,,,,,,,,
2020-03-23 15:00:00,355.965,359.49,348.15,353.79,1534366,,,,,,,,
2020-03-23 16:00:00,353.86,366.11,350.22,364.64,1704893,,,,,,,,
2020-03-23 17:00:00,364.58,364.71,353.0,356.36,1407189,,,,,,,,
2020-03-23 18:00:00,356.4255,360.8,351.8,356.5,916383,,,,,,,,
2020-03-23 19:00:00,356.5,365.0,355.3501,360.06,2237022,,,,,,,,
2020-03-23 20:00:00,360.27,360.27,360.27,360.27,37839,,,,,,,,
2020-03-24 13:00:00,369.99,372.93,362.28,364.18,1821229,,,,,,,,
2020-03-24 14:00:00,364.25,367.3,357.32,360.64,1873043,,,,,,,,
2020-03-24 15:00:00,361.14,362.9,354.87,357.97,1381464,,,,,,,,
2020-03-24 16:00:00,357.79,361.3,353.34,358.593,1418287,,,,,,,,
2020-03-24 17:00:00,358.8,359.9,353.5,353.74,891641,,,,,,,,
2020-03-24 18:00:00,353.905,357.97,353.0301,357.2,826334,,,,,,,,
2020-03-24 19:00:00,357.2964,360.0,354.0,359.39,1932432,,,,,,,,
2020-03-24 20:00:00,357.32,357.32,356.38,356.38,26185,,,,,,,,
2020-03-25 13:00:00,361.02,362.0,349.66,350.955,1294920,,,,,,,,
2020-03-25 14:00:00,350.89,355.67,345.67,354.3385,1063181,,,,,,,,
2020-03-25 15:00:00,353.83,355.17,346.58,349.8509,814038,,,,,,,,
2020-03-25 16:00:00,349.7291,355.32,349.56,352.81,937168,,,,,,,,
2020-03-25 17:00:00,352.585,354.7757,348.45,351.65,899346,,,,,,,,
2020-03-25 18:00:00,351.82,352.24,346.1,349.44,955375,,,,,,,,
2020-03-25 19:00:00,349.13,349.71,339.17,342.56,2013456,,,,,,,,
2020-03-25 20:00:00,342.39,342.5,342.3,342.5,32732,,,,,,,,
2020-03-26 13:00:00,344.0,354.7,341.73,352.69,900484,,,,,,,,
2020-03-26 14:00:00,352.74,354.37,347.89,352.44,888460,,,,,,,,
2020-03-26 15:00:00,352.285,354.0,351.045,352.33,703465,,,,,,,,
2020-03-26 16:00:00,352.575,352.76,347.4431,350.45,673834,,,,,,,,
2020-03-26 17:00:00,350.52,351.56,348.3135,351.373,484197,,,,,,,,
2020-03-26 18:00:00,351.55,356.2,351.27,355.93,855983,,,,,,,,
2020-03-26 19:00:00,355.92,363.84,354.45,363.14,1544238,,,,,,,,
2020-03-26 20:00:00,362.99,362.99,362.0,362.0,204759,,,,,,,,
2020-03-27 13:00:00,359.09,361.21,353.0,357.59,910103,,,,,,,,
2020-03-27 14:00:00,357.52,361.09,355.07,360.19,1184701,,,,,,,,
2020-03-27 15:00:00,360.35,366.57,360.02,361.98,1185465,,,,,,,,
2020-03-27 16:00:00,361.75,363.66,359.59,362.4086,549856,,,,,,,,
2020-03-27 17:00:00,362.305,365.94,361.39,363.52,714844,,,,,,,,
2020-03-27 18:00:00,363.61,368.0,362.51,367.95,877507,,,,,,,,
2020-03-27 19:00:00,367.9,368.56,356.0,357.12,1704574,,,,,,,,
2020-03-27 20:00:00,357.12,357.12,356.49,356.73,37802,,,,,,,,
2020-03-30 13:00:00,363.0,366.5,361.17,366.36,937299,,,,,,,,
2020-03-30 14:00:00,366.35,374.59,365.4,371.45,1598604,,,,,,,,
2020-03-30 15:00:00,371.26,377.8,371.205,372.704,1432682,,,,,,,,
2020-03-30 16:00:00,372.7187,374.66,369.89,374.06,701508,,,,,,,,
2020-03-30 17:00:00,374.02,374.28,368.883,371.055,729272,,,,,,,,
2020-03-30 18:00:00,371.045,373.84,369.71,372.95,765169,,,,,,,,
2020-03-30 19:00:00,373.17,373.92,368.04,370.53,1515107,,,,,,,,
2020-03-30 20:00:00,370.96,370.96,370.96,370.96,41499,,,,,,,,
2020-03-31 13:00:00,367.93,377.961,367.38,377.23,1036310,,,,,,,,
2020-03-31 14:00:00,377.31,383.01,376.6355,378.61,1533159,,,,,,,,
2020-03-31 15:00:00,378.675,379.94,376.4,378.88,828933,,,,,,,,
2020-03-31 16:00:00,378.74,378.94,373.135,374.86,745731,,,,,,,,
2020-03-31 17:00:00,374.74,377.1097,373.27,375.0,642635,,,,,,,,
2020-03-31 18:00:00,375.2508,376.39,373.7715,374.11,571810,,,,,,,,
2020-03-31 19:00:00,374.23,378.5,366.44,375.36,2149878,,,,,,,,
2020-03-31 20:00:00,375.5,375.5,375.07,375.5,44278,,,,,,,,
2020-04-01 13:00:00,376.05,380.233,369.1,371.0,1237750,,,,,,,,
2020-04-01 14:00:00,371.065,372.95,367.7841,370.885,905386,,,,,,,,
2020-04-01 15:00:00,370.8,372.61,366.52,367.87,743538,,,,,,,,
2020-04-01 16:00:00,367.85,368.95,361.02,363.595,876367,,,,,,,,
2020-04-01 17:00:00,363.52,367.48,361.7801,366.89,649751,,,,,,,,
2020-04-01 18:00:00,366.82,367.38,362.5,362.99,614745,,,,,,,,
2020-04-01 19:00:00,363.06,365.2999,361.22,364.21,1150242,,,,,,,,
2020-04-01 20:00:00,364.08,364.08,364.08,364.08,34932,,,,,,,,
2020-04-02 13:00:00,364.08,368.7499,360.06,362.6443,751756,,,,,,,,
